Experiment,Cost_bps,Slippage_bps,Total_bps,CAGR,ΔCAGR,MDD,ΔMDD
E00_V0_Base_OFF10_CASH,10,0,10,0.31004677831798166,0.0,-0.561783827662866,0.0
E00_V0_Base_OFF10_CASH,10,5,15,0.3081415239808112,0.0,-0.5629755568611069,0.0
E00_V0_Base_OFF10_CASH,10,10,20,0.3062381826616367,0.0,-0.5641645843135764,0.0
E00_V0_Base_OFF10_CASH,10,20,30,0.30243723483468976,0.0,-0.5665345535819707,0.0
E00_V0_Base_OFF10_CASH,20,0,20,0.3062381826616367,0.0,-0.5641645843135764,0.0
E00_V0_Base_OFF10_CASH,20,5,25,0.3043367532997836,0.0,-0.5653509149221347,0.0
E00_V0_Base_OFF10_CASH,20,10,30,0.30243723483468976,0.0,-0.5665345535819707,0.0
E00_V0_Base_OFF10_CASH,20,20,40,0.29864392635310244,0.0,-0.5688937746029032,0.0
E00_V0_Base_OFF10_CASH,30,0,30,0.30243723483468976,0.0,-0.5665345535819707,0.0
E00_V0_Base_OFF10_CASH,30,5,35,0.3005396262059077,0.0,-0.567715505181607,0.0
E00_V0_Base_OFF10_CASH,30,10,40,0.29864392635310244,0.0,-0.5688937746029032,0.0
E00_V0_Base_OFF10_CASH,30,20,50,0.2948582487346516,0.0,-0.5712422864046585,0.0
E00_V0_Base_OFF10_CASH,50,0,50,0.2948582487346516,0.0,-0.5712422864046585,0.0
E00_V0_Base_OFF10_CASH,50,5,55,0.29296826884890326,0.0,-0.5724125385155912,0.0
E00_V0_Base_OFF10_CASH,50,10,60,0.29108019349892866,0.0,-0.573580127909145,0.0
E00_V0_Base_OFF10_CASH,50,20,70,0.287309752167346,0.0,-0.575907337932093,0.0
E02_V4_Ensemble_160_165_170,10,0,10,0.32856284431689886,0.018516065998917197,-0.5441707031985135,0.017613124464352592
E02_V4_Ensemble_160_165_170,10,5,15,0.32663640855547094,0.018494884574659753,-0.5454103313014993,0.0175652255596076
E02_V4_Ensemble_160_165_170,10,10,20,0.3247119011180857,0.018473718456448962,-0.5466471490680505,0.01751743524552596
E02_V4_Ensemble_160_165_170,10,20,30,0.3208686669525722,0.01843143211788245,-0.5491123739804311,0.017422179601539578
E02_V4_Ensemble_160_165_170,20,0,20,0.3247119011180857,0.018473718456448962,-0.5466471490680505,0.01751743524552596
E02_V4_Ensemble_160_165_170,20,5,25,0.3227893209389969,0.018452567639213324,-0.5478811615970476,0.017469753325087156
E02_V4_Ensemble_160_165_170,20,10,30,0.3208686669525722,0.01843143211788245,-0.5491123739804311,0.017422179601539578
E02_V4_Ensemble_160_165_170,20,20,40,0.317033133295749,0.018389206942646563,-0.5515664186434456,0.01732735595945767
E02_V4_Ensemble_160_165_170,30,0,30,0.3208686669525722,0.01843143211788245,-0.5491123739804311,0.017422179601539578
E02_V4_Ensemble_160_165_170,30,5,35,0.3189499380932921,0.0184103118873844,-0.5503407913032046,0.017374713878402392
E02_V4_Ensemble_160_165_170,30,10,40,0.317033133295749,0.018389206942646563,-0.5515664186434456,0.01732735595945767
E02_V4_Ensemble_160_165_170,30,20,50,0.313205291624822,0.018347042890170417,-0.554009323654036,0.01723296275062247
E02_V4_Ensemble_160_165_170,50,0,50,0.313205291624822,0.018347042890170417,-0.554009323654036,0.01723296275062247
E02_V4_Ensemble_160_165_170,50,5,55,0.31129425262119415,0.018325983772290888,-0.5552266114459535,0.01718592706963762
E02_V4_Ensemble_160_165_170,50,10,60,0.3093851334188171,0.018304939919888463,-0.5564411294984903,0.017138998410654693
E02_V4_Ensemble_160_165_170,50,20,70,0.3055726501585836,0.018262897991237592,-0.558861876552647,0.01704546137944607
E03_Ensemble_SGOV,10,0,10,0.33073676875560065,0.020689990437618988,-0.5441707031985135,0.017613124464352592
E03_Ensemble_SGOV,10,5,15,0.32880721140351676,0.02066568742270558,-0.5454103313014993,0.0175652255596076
E03_Ensemble_SGOV,10,10,20,0.32687958546954987,0.020641402807913156,-0.5466471490680505,0.01751743524552596
E03_Ensemble_SGOV,10,20,30,0.3230301235863233,0.020592888751633565,-0.5491123739804311,0.017422179601539578
E03_Ensemble_SGOV,20,0,20,0.32687958546954987,0.020641402807913156,-0.5466471490680505,0.01751743524552596
E03_Ensemble_SGOV,20,5,25,0.32495388988626095,0.020617136586477347,-0.5478811615970476,0.017469753325087156
E03_Ensemble_SGOV,20,10,30,0.3230301235863233,0.020592888751633565,-0.5491123739804311,0.017422179601539578
E03_Ensemble_SGOV,20,20,40,0.3191883745677677,0.02054444821466528,-0.5515664186434456,0.01732735595945767
E03_Ensemble_SGOV,30,0,30,0.3230301235863233,0.020592888751633565,-0.5491123739804311,0.017422179601539578
E03_Ensemble_SGOV,30,5,35,0.3211082855025258,0.020568659296618108,-0.5503407913032046,0.017374713878402392
E03_Ensemble_SGOV,30,10,40,0.3191883745677677,0.02054444821466528,-0.5515664186434456,0.01732735595945767
E03_Ensemble_SGOV,30,20,50,0.31535432987754697,0.02049608114289536,-0.554009323654036,0.01723296275062247
E03_Ensemble_SGOV,50,0,50,0.31535432987754697,0.02049608114289536,-0.554009323654036,0.01723296275062247
E03_Ensemble_SGOV,50,5,55,0.3134401939884559,0.02047192513955265,-0.5552266114459535,0.01718592706963762
E03_Ensemble_SGOV,50,10,60,0.3115279809811493,0.020447787482220647,-0.5564411294984903,0.017138998410654693
E03_Ensemble_SGOV,50,20,70,0.3077093193458875,0.020399567178541522,-0.558861876552647,0.01704546137944607
