name,period,CAGR,MDD,Calmar
V0_Base_OFF10_CASH,P1,0.2760845058757211,-0.4646070345202582,0.594232298184635
V0_Base_OFF10_CASH,P2,0.2402250542117934,-0.4963673571286331,0.4839662616039824
V0_Base_OFF10_CASH,P3,0.3688765539387622,-0.48783349323745107,0.7561525788046146
V1_A1_OFF10_SGOV,P1,0.2760845058757211,-0.4646070345202582,0.594232298184635
V1_A1_OFF10_SGOV,P2,0.2402250542117934,-0.4963673571286331,0.4839662616039824
V1_A1_OFF10_SGOV,P3,0.37396287563054265,-0.48783349323745107,0.7665789266513475
V2_C3_Hysteresis_0p5,P1,0.33709940089733026,-0.45831594119263586,0.7355175122648487
V2_C3_Hysteresis_0p5,P2,0.2616007883890734,-0.5043907184672729,0.5186471098913514
V2_C3_Hysteresis_0p5,P3,0.3094685671433577,-0.5354913520589393,0.5779151539113853
V3_B2_MA200Guard,P1,0.26078631780507533,-0.48903531139504786,0.5332668454168321
V3_B2_MA200Guard,P2,0.1875826406966521,-0.5209202538335497,0.36009857423702823
V3_B2_MA200Guard,P3,0.3710057056042315,-0.4877584177268808,0.7606341420682058
V4_D1_Ensemble,P1,0.2754176265721684,-0.4625025889630604,0.5954942375342372
V4_D1_Ensemble,P2,0.24022505421179297,-0.49636735712863334,0.48396626160398126
V4_D1_Ensemble,P3,0.38049081259062345,-0.48848323148153294,0.7789229764072421
V5_Combo_SGOV_MA200,P1,0.26078631780507533,-0.48903531139504786,0.5332668454168321
V5_Combo_SGOV_MA200,P2,0.1875826406966521,-0.5209202538335497,0.36009857423702823
V5_Combo_SGOV_MA200,P3,0.37663681641529445,-0.4877584177268808,0.7721790188071985
