Date,asset,side,notional,cost,realized_gain
2010-02-11,TQQQ,BUY,0.1,0.0,0.0
2010-10-04,TQQQ,BUY,0.9013225495507592,0.0009013225495507593,0.0
2011-06-09,TQQQ,SELL,1.2925165087252808,0.001292516508725281,0.4187856760057115
2011-07-05,TQQQ,BUY,1.3281123295840358,0.0013281123295840358,0.0
2011-08-05,TQQQ,SELL,1.0524557996451165,0.0010524557996451165,-0.22272624026882373
2011-09-21,TQQQ,BUY,1.0138706940712605,0.0010138706940712606,0.0
2011-09-22,TQQQ,SELL,1.003093485522063,0.0010030934855220631,-0.1336544695392477
2011-10-14,TQQQ,BUY,1.0782817662176332,0.0010782817662176333,0.0
2011-11-21,TQQQ,SELL,0.9045302383333458,0.0009045302383333459,-0.22623756262973935
2011-12-06,TQQQ,BUY,0.9110466595818923,0.0009110466595818925,0.0
2011-12-15,TQQQ,SELL,0.806843862689808,0.0008068438626898081,-0.11022094468535996
2011-12-29,TQQQ,BUY,0.8265506943671339,0.000826550694367134,0.0
2012-06-06,TQQQ,SELL,1.0540280223979526,0.0010540280223979527,0.2750045446063865
2012-06-08,TQQQ,BUY,1.0828668236804389,0.001082866823680439,0.0
2012-10-25,TQQQ,SELL,1.1821817162973394,0.0011821817162973394,0.11717986655054022
2012-12-03,TQQQ,BUY,1.1790969996265404,0.0011790969996265403,0.0
2012-12-10,TQQQ,SELL,1.1364356878946746,0.0011364356878946747,-0.024370627323531967
2012-12-13,TQQQ,BUY,1.1132705847319135,0.0011132705847319137,0.0
2012-12-18,TQQQ,SELL,1.1280626138860472,0.0011280626138860475,0.059169404422118745
2012-12-20,TQQQ,BUY,1.1262702903023118,0.001126270290302312,0.0
2012-12-28,TQQQ,SELL,1.0465116406295736,0.0010465116406295737,-0.10414061256874645
2013-01-04,TQQQ,BUY,0.986469380954959,0.000986469380954959,0.0
2014-10-17,TQQQ,SELL,2.4730270410310817,0.0024730270410310818,1.5238703855044318
2014-10-22,TQQQ,BUY,2.4620605944473164,0.0024620605944473163,0.0
2015-08-24,TQQQ,SELL,2.5337030345273654,0.0025337030345273658,0.2815636305567749
2015-10-21,TQQQ,BUY,2.563798603363659,0.002563798603363659,0.0
2016-01-08,TQQQ,SELL,2.2825675381849724,0.0022825675381849724,-0.15816996857228802
2016-03-21,TQQQ,BUY,2.3330534678089068,0.002333053467808907,0.0
2016-05-02,TQQQ,SELL,2.192475825805417,0.0021924758258054173,-0.08049827531639468
2016-05-27,TQQQ,BUY,2.241253564601901,0.002241253564601901,0.0
2016-06-20,TQQQ,SELL,2.0407082988078153,0.0020407082988078153,-0.14022069496937847
2016-07-06,TQQQ,BUY,2.089150575175048,0.0020891505751750483,0.0
2018-10-15,TQQQ,SELL,7.374967671598672,0.007374967671598672,5.192209987887574
2018-10-18,TQQQ,BUY,6.918216435791119,0.00691821643579112,0.0
2018-10-25,TQQQ,SELL,6.032269695342855,0.006032269695342855,0.5904685142065107
2018-11-12,TQQQ,BUY,5.501245449128204,0.005501245449128204,0.0
2018-11-13,TQQQ,SELL,5.496069264426841,0.005496069264426841,0.005206569002391853
2019-02-21,TQQQ,BUY,4.318170454855339,0.004318170454855339,0.0
2020-03-11,TQQQ,SELL,6.065267680347317,0.006065267680347318,1.2075721297483994
2020-04-16,TQQQ,BUY,6.541526815230482,0.006541526815230484,0.0
2022-01-20,TQQQ,SELL,25.412313530221848,0.025412313530221848,19.093134650493326
2022-08-18,TQQQ,BUY,24.93890531331474,0.024938905313314743,0.0
2022-08-22,TQQQ,SELL,23.2720036911327,0.0232720036911327,-1.333618313540948
2023-01-27,TQQQ,BUY,19.710895755138658,0.01971089575513866,0.0
2023-10-30,TQQQ,SELL,26.839118336464185,0.026839118336464185,7.119491302164675
2023-11-03,TQQQ,BUY,28.093436628771624,0.028093436628771624,0.0
2024-08-07,TQQQ,SELL,39.869305867757824,0.039869305867757825,13.067190725499229
2024-08-13,TQQQ,BUY,43.21291953859872,0.043212919538598724,0.0
2025-03-07,TQQQ,SELL,43.08451834902581,0.04308451834902581,4.8275391518949595
2025-05-15,TQQQ,BUY,43.942021799556706,0.04394202179955671,0.0
