V_target,Lookback,Final,CAGR,MDD,Sharpe,Sortino,Calmar,Trades,TotalTax
10,10,7.9016562498210385,0.13923378321661706,-0.13841464550584226,1.3306707768112398,1.9897178590390214,1.0059179988344529,615,0.2677855171673458
10,20,5.437511091502274,0.11269615266552413,-0.15473436124161477,1.092220732624378,1.4841822468299455,0.7283201466127567,288,0.25514136840283713
10,40,4.067877573819947,0.09251800920377695,-0.14956038192127385,0.911912817454582,1.148252431163593,0.6185997121381845,138,0.29591895473231117
10,60,3.355593974860405,0.07933591677318241,-0.1556532585103707,0.804222120602757,0.9784458956263699,0.509696472354265,94,0.40166923504763097
12,10,11.221582674614782,0.16471489306579024,-0.15031587160684512,1.340299162626223,1.9964838534582336,1.0957917570847482,731,0.561183754281626
12,20,7.4585942385850945,0.13509555305145682,-0.15636641766328285,1.1150383689352945,1.5112314826286366,0.8639678203945914,356,0.5592664881041912
12,40,5.367791021951701,0.11179097910564595,-0.15817861007419498,0.9467016477487135,1.1981514169518868,0.7067389140238965,165,0.5118617810968723
12,60,4.200726636385058,0.09473435474649738,-0.17206925484376168,0.8304680178901296,1.0082013635010114,0.5505594525443599,116,0.34799414481674795
15,10,19.30406004849912,0.20524945150563556,-0.19795220388877044,1.372684883758241,2.074206295343161,1.0368636846345265,840,0.5611080921435493
15,20,11.743252590065481,0.16805726104496466,-0.17217006169601712,1.145182288661513,1.5700327300942771,0.9761119871216982,453,0.6770771140081622
15,40,8.025500398936005,0.14035161611775426,-0.19556518923487143,0.9789429358891205,1.2416993013569098,0.7176717731149671,227,0.6915655044793149
15,60,6.319005568677744,0.12328862718642153,-0.18876118415164334,0.8880317717002866,1.0835277287975673,0.6531460784192595,145,0.41916595361905784
18,10,28.09344734535781,0.23410886118314256,-0.23456589078639223,1.332779173193469,1.986782058708563,0.998051593939266,915,0.6890070047289518
18,20,17.817521412049896,0.1991741594463905,-0.18971192729695985,1.1468584820697592,1.562760532389185,1.0498768437190522,509,1.0064208549118785
18,40,11.54742463489166,0.1668192009255316,-0.2337480233848731,0.9884066386929033,1.2431121030567276,0.7136710655767078,261,0.8592241893524714
18,60,8.386539683748431,0.14352051608486915,-0.2269737854779541,0.8778192376354355,1.0549585757721982,0.632321991646076,181,0.6602511001813428
