Experiment,Strategy,EnsembleWindows,MA_Long_QQQ,MA_Long_TQQQ,UseEntryGate,UseVolLock,VolThreshold,UseOverheat,OverheatRatio,ReentryRatio,UseQLDStep,CAGR_PostTax,MDD,Sharpe
E00_E03_Ensemble_Baseline,e03,160-165-170,161,200,False,True,0.062,True,2.51,2.18,True,0.3325049668636033,-0.5167905919980442,0.8566405993114566
E01_User_Relaxed_Gate,user,,161,200,False,True,0.062,True,2.51,2.18,True,0.3392504773504781,-0.5026501893981281,0.8926223324319735
E02_User_Strict_Gate,user,,161,200,True,True,0.062,True,2.51,2.18,True,0.22221174019472856,-0.5026501893981274,0.7213271915338592
E03_User_No_VolLock,user,,161,200,False,False,0.062,True,2.51,2.18,True,0.30096821332845614,-0.5176391798877861,0.8157270424077481
E04_User_No_Overheat,user,,161,200,False,True,0.062,False,2.51,2.18,True,0.3392504773504781,-0.5026501893981281,0.8926223324319735
E05_User_No_QLD_Step,user,,161,200,False,True,0.062,True,2.51,2.18,False,0.3645384523577886,-0.5167905919980446,0.9237782003907102
E06a_Vol_Sensitivity_5.0,user,,161,200,False,True,0.05,True,2.51,2.18,True,0.21692557833767645,-0.5083097267956183,0.680232481667148
E06b_Vol_Sensitivity_6.2,user,,161,200,False,True,0.062,True,2.51,2.18,True,0.3392504773504781,-0.5026501893981281,0.8926223324319735
E06c_Vol_Sensitivity_7.5,user,,161,200,False,True,0.075,True,2.51,2.18,True,0.2820289377768743,-0.5176391798877861,0.7843483668099884
E07a_Overheat_2.30,user,,161,200,False,True,0.062,True,2.3,2.0,True,0.3392504773504781,-0.5026501893981281,0.8926223324319735
E07b_Overheat_2.51,user,,161,200,False,True,0.062,True,2.51,2.18,True,0.3392504773504781,-0.5026501893981281,0.8926223324319735
E07c_Overheat_2.70,user,,161,200,False,True,0.062,True,2.7,2.35,True,0.3392504773504781,-0.5026501893981281,0.8926223324319735
E08a_MA161_Sensitivity_160,user,,160,200,False,True,0.062,True,2.51,2.18,True,0.34193674755178005,-0.5026501893981281,0.8973890814722408
E08b_MA161_Sensitivity_161,user,,161,200,False,True,0.062,True,2.51,2.18,True,0.3392504773504781,-0.5026501893981281,0.8926223324319735
E08c_MA161_Sensitivity_165,user,,165,200,False,True,0.062,True,2.51,2.18,True,0.34818529685762645,-0.5019274545084303,0.9082878232618307
E09a_TQQQ_MA200_Sens_180,user,,161,180,False,True,0.062,True,2.51,2.18,True,0.34218227390658806,-0.47146300927932183,0.9022111494725097
E09b_TQQQ_MA200_Sens_200,user,,161,200,False,True,0.062,True,2.51,2.18,True,0.3392504773504781,-0.5026501893981281,0.8926223324319735
E09c_TQQQ_MA200_Sens_220,user,,161,220,False,True,0.062,True,2.51,2.18,True,0.3415722771426275,-0.5094598115364055,0.895607698177039
E10a_E03_Ensemble_155_160_165,e03,155-160-165,161,200,False,True,0.062,True,2.51,2.18,True,0.31986577420508233,-0.5167905919980442,0.8370589232253726
E10b_E03_Ensemble_160_165_170,e03,160-165-170,161,200,False,True,0.062,True,2.51,2.18,True,0.3325049668636033,-0.5167905919980442,0.8566405993114566
