w,sharpe,cagr,ann_vol,max_drawdown,total_turnover
0.0,0.43661076781817065,0.09725185950201953,0.22274269594404664,-0.41313005973875294,22.545
0.1,0.4400268485363289,0.09687498953211149,0.22015699690677723,-0.4119066556185741,18.365
0.2,0.43984372179992576,0.09688788266873027,0.22027797116722794,-0.4122875195593418,18.375000000000004
0.3,0.44648932162976296,0.0983096597574642,0.22018367516297366,-0.4111825100336948,18.35
0.4,0.44247644590773616,0.09745385430823528,0.2202464226277845,-0.4124929495435629,18.384999999999998
0.5,0.44410820752161356,0.0978081793341643,0.2202350185779988,-0.41249594004429296,18.355
0.6,0.44136490049110094,0.09714496273801254,0.2201012419200544,-0.4109753939724419,18.36
0.7,0.45009026590157225,0.09896150743783583,0.219870356981853,-0.41108828393418806,18.320000000000004
0.8,0.44288435518993874,0.09740450162096592,0.2199321346069953,-0.4164227767361903,18.525000000000002
0.9,0.46889734892570434,0.10277481452068482,0.21918403837461073,-0.41603579315072664,18.974999999999998
1.0,0.5011534277886744,0.10899490889508479,0.21748810414411768,-0.42434229312802385,22.859999999999996
